,Positive (1); Neutral (2) Negative (3),comment,,
"&acute;&acute; not only that, but the federal government itself is not foreign to ending marriage inequality disputes - see loving v. virginia. and the supreme court is now currently getting involved with a number of cases involving gay marriage. interesting, didn&acute;t know the sc was getting involved. curious as to what will they decide. yeah it has been an interesting turn of events. barry o continues to &acute;evolve&acute; as the political landscape becomes more welcoming to the gays",1,,,
"i don&acute;t know who would ever waste their money subscribing. you get to make your profile name have a color, big deal. and you get a subscription to maxim and their crappy reviews where they get paid off and rate everything good. maybe gamespot should make a magazine of their own and the only way to get it was to subscribe to the site. that might be a better idea that would probably get more people to subscribe.",2,,,
"&acute;&acute; so no more parade&acute;s in general? you just love playing dumb don&acute;t you? you know damn good and well that other parades are much more under control, and don&acute;t feature abunch of tweekers running around naked causing all kinds of mayhem. but if the basis of banning gay pride parades is for the sake of keeping traffic from being backed up then shouldn&acute;t all parades be banned because all parades have the potential of backing up traffic?",3,,,
"&acute;&acute; yea your right, in this day in age it is pretty irrational to be straight. :lol: but you still haven&acute;t answered the question, how is being gay irrational? i cant even believe you think being homosexual is rational. ill pull up a deffinition. irrational - lacking usual or normal mental clarity or coherence merriam-websters online dictionary. http://www.merriam-webster.com/dictionary/irrational if you honestly feel a need for me to explain more than maby your irrational aswell6 years, 1 month ago",3,,,
"&acute;&acute; just because it didnt happen to you doesnt mean it doesnt happen. what do you think youve experienced every form of propaganda by yourself?get your head out of your ass then maby youll see you dont know everything thathappens at public places such as schools i know more than you because i have been in the situation. you haven&acute;t. your assuming ive never gone to a public school? thats a pretty ignorant statement.6 years, 1 month ago",3,,,
"&acute;&acute; well that&acute;s fine, as long as you don&acute;t have a conscience and think that it&acute;s okay to execute innocent people. hell, why bother with a trial at all? we could just let cops gun down all suspects. that would save a lot of legal costs. that&acute;s why the judge shouldn&acute;t hand out the death penalty unless he is darn sure that the guy is guilty. looks like this argument is going to go into a loop. :p",3,,,
"&acute;&acute; you need to do some research, since apparently, you&acute;re supporting the islamic republic. and i&acute;m not talking about the media, the election was rigged from facts known from inside of iran. provide proof of this election rigging. just because the conservative was re-elected doesn&acute;t mean that it was rigged. i asked politely, the mere fact that more than two-thirds of the population is under the age of 30 makes the re-election of that dumb ass extremely suspicious.",3,,,
"i hope thoes conservative idiots dont get g ay marriage banned again, if you dont want to be g ay, dont be g ay but leave others the hell alone. how homophobic can you get? if you are afraid of g ays then let them get married... that way they wont come looking for you because we all know how hawt fat smelly redneck conservatives are, thos g ays just can keep their hand off of em.... (sarcasm)",3,,,
"&acute;&acute; she will cheat on you.. no.. she is cheating on you right now... while u r on the pc, she is with another guy *evil laugh* it was expecting that from you :d boludo vos me odias! quien sos? :( i m scared... u don&acute;t know me :d u know me from system wars, we have had some discussions there nothing special,but i think u hate me because im an xbox360 supporter and i bash the ps3:p",2,,,
"&acute;&acute; act so tough? uhh.. buddhists... i don&acute;t think they were looking for a fight... are you kidding me, listen to the tone of their voices, hell one of the guys were right up in the officer&acute;s face. yeah, not acting tough, wow i hate hippies. nothing like mixing a good dose of ignorance with your internet forums... yeah, watching a bunch of tough guys get in a fight with police officer, expanding on that is such ignorance:roll:.",3,,,
"did anyone use the hawkeye? i hit the pole in kakariko without it on with my second shot. i only used it again in the cave of ordeals (which isn&acute;t neccessary to complete the game) when i shot the two archers on top of the towers around level 45. other than that, never again. it was funner to keep shooting the bow with the wii remote. what the heck else are you going to do with 100 arrows?",2,,,
"dude trust me if you hit the weights, once you find the right routine for yourself you will sweat like theres no tommorow. juast have to be patient and stay determined. i will usually close all the windows and turn off all the fans and ac in my home gym when i workout to build up a sweat very quickly, the best feeling is that sweat pouring out and the soreness you feel afterward.7 years, 4 days ago",1,,,
"&acute;&acute; dude.. he ****** me off too, but no need to constantly beat down on him.. just state your opinion and move on... because i don&acute;t want people to waste their time giving really helpful advice when it doesn&acute;t go through his head at all. his last thread gave him more than enough advice, yet he makes another thread? doesn&acute;t that say something? you don&acute;t want people to waste their time? what do you care if they do...",2,,,
"&acute;&acute; my dad is a full time alcoholic, and a part time douche bag, i&acute;ve learned to cope with it... i just feel sorry for my mom, however my brother and i almost jumped his ass when he hit my mom. then he ran out of the house and walked around all night and morning. he&acute;s just a big kid, thinks he&acute;s some jock but he&acute;s really just a f4g, and very intemidating considering he&acute;s 5&acute;&acute;12 and 250lbs.",3,,,
"&acute;&acute; my dad is a full time alcoholic, and a part time douche bag, i&acute;ve learned to cope with it... i just feel sorry for my mom, however my brother and i almost jumped his ass when he hit my mom. then he ran out of the house and walked around all night and morning. he&acute;s just a big kid, thinks he&acute;s some jock but he&acute;s really just a f4g, and very intemidating considering he&acute;s 5&acute;&acute;12 and 250lbs.",3,,,
"&acute;&acute; agree, perhaps a bit of co-op too :) oh ya, a match of 2 vs 2 would be sweet. you could have a portal setup so you get some huge air and speed, then the second teammate could make another set so when your ready you could slingshot through...mayhbe they could have a juggernaut helmet so when you hit someone, they die lol lol that would be fun! i hope we get something like that soon. :d",1,,,
"&acute;&acute; agree, perhaps a bit of co-op too :) oh ya, a match of 2 vs 2 would be sweet. you could have a portal setup so you get some huge air and speed, then the second teammate could make another set so when your ready you could slingshot through...mayhbe they could have a juggernaut helmet so when you hit someone, they die lol lol that would be fun! i hope we get something like that soon. :d",1,,,
"jeez man a 3 and a half minute video of anti smoking. next time shorten it to 30 seconds, you&acute;re trying to get people to quit smoking you shouldn&acute;t be trying so hard to be funny. smoking is a serious problem and you&acute;re immature video is mocking the fact that so many people die from smoking everyday. change the clip, shorten the msg and focuss more on conveying you&acute;re point in the ad instead trying to be hilarious.",3,,,
"i got the game but it seems as though i cannot get the game started because it&acute;s waiting to link with other gbas and such. do i really need to play this game with 3 other people and spend 10-12 hours with these people before i beat the game with these people? that would suck if it were true if not, how do i get past the beginning on my own and play the game on my own?",3,,,
"&acute;&acute; i dunno man, i played a few snes games back in the time, and i think the super nintendo had some great rpgs. and anyways, aren&acute;t emulators illegal? like i said, i kinda find games a waste of time, because they are time consuming, and i was thinking maybe i should go out and do stuff. its been 15 years, im sure nintendos made a nice profit off them already besides we must keep the games alive",2,,,
&acute;&acute; just buy wc3 and tft and then use the cheat codes(instant mission win/ invincible) and then you get the story very fast. seriously... if your so far in wow that you have gotten to kael... then... then its a shame that you dont got the hole scope. kael is really important. well i can read about characters on wowwiki. i only know he is the prince of the blood elves. and he talk like he&acute;s a pansy.,2,,,
"ok i&acute;m in need for a good game (mostly for online play) but i would also like a good offline. these are the games i&acute;ve come up with. syphon filter dark mirror, metal gear solid portable ops, socom fire team bravo 1, and socom fireteam bravo 2. and just to let you know, i hate glitchers so hope that helps . and another thing, which game out of the list has the longest offline campaign? thanks in advance.",1,,,
"&acute;&acute; true, although each of these women sounded pretty pissed off/serious when they said that to me. and i&acute;m the kind of person who does something if i say i&acute;m going to do it. so because of that i also took them more seriously. not trying to change your views or anything raw, but what if a guy who&acute;s smaller, and weaker than you were to hit you? would you restrain him, or would it be open season?",2,,,
"&acute;&acute; but even then, is it even needed? :| :? lol... that card cant even handle 2gb&acute;s hell i dont think my 8800gtx can... you need some huge resolution video to use that... i dont think there is a real use for this at all. 1900 trillion pixels times 1200 trillion pixels, what were planning to do, is make some 600km lcd screen, blast it into space, and watch the superbowl on it from our roof next season.",2,,,
"everyone hates it because they suck at it! i have bop it extreme. the original bop it just has &acute;bop it, pull it, twist it&acute; and is shaped like a wand. bop it extreme is much harder and is shaped like a steering wheel. it has &acute;flick it&acute; and &acute;spin it&acute; added. i&acute;ve beat bop-it extreme a few times :d it cuts out at 250 and makes some weird celebration noises lol. i haven&acute;t played it in ages.",2,,,
"i really hold no believe, i would like to think theres more and that i dont just rott in the ground at the end because that thought is very saddening, but i really dont see the point in it all, either way theres nothing i can do about it, if i rott then i rott ill never know, if i burn in hell then so be it, if a devine entinty decides im worthy then so be it",2,,,
"&acute;&acute; although there is evidence to support evolution, it does not necessarily mean it is a fact. it is a fact. :| it&acute;s a natural phenomenon. it&acute;s a fact just like gravity is a fact. ever see somethin evolve?, has anyone ever seen it? has it ever been documented? no so its not fact it&acute;s a gradual process that takes thousands, even millions, of years, you&acute;re sounding like an atheist trying to disprove god... the hell with god",3,,,
"&acute;&acute; who could you vote for if you were to limit your decision to those who haven&acute;t lied to the american populace on multiple occasions? one of the politicians i would vote for is ron paul, and yes there are other politicians out there that don&acute;t lie to the american people. c&acute;mon man no one is infallible. surely some of them are just mistakes or something. even if not, surely obama is the lesser of evils. yeah man",2,,,
"so im doing the urgent mission on the level 2 quests or w/e you call it, and i need to kill khezu. this doesnt seem to hard other than the fact that my iron katana keeps bouncing off every single time i hit it, whether its on the legs, wings head or body. why cant i cut the beast??:cry::evil: also i need some good places where i can mine for machalite ore to upgrade my iron katana. thanks:)",2,,,
"i had a recurring nightmare about a man in my hallway that would pick me up start spinning really fast. it was scary as hell when i was a little kid. also, i would occasionally have nightmares where i would see a second version of myself. for some reason, that was really scary as well.... luckily, nightmares just aren&acute;t very scary anymore. besides raising my blood pressure through the roof, they don&acute;t really bother me all that much...",2,,,
"&acute;&acute; it measures voltages. a nice digital one is only $20 bucks at car parts stores. if you connect the green wire on your motherboard plug to any of the grounds (black wires), the psu will fire right up. then you can test each connection using a multimeter. they should all be 12v, 5v, 3.3v, -12v, or -5v... or if you or a friend have an extra psu lying around, you can see if anything else is fried...",1,,,
"&acute;&acute; refs in the nfl are pretty bad, they still get the wrong calls even after taking a 5 min break to replay the footage from multiple angles. at least their incompetence is consistent for both teams though, leveling the playing field the nfl has boneheads, but it doesn&acute;t have people like dick bavetta, violet palmer, and especially joey crawford as officials.the nba referees besides maybe 4 or 5 of them are absolutely terrible.3 years, 29 days ago",3,,,
"not sure really. i don&acute;t like rivers, but the only time i really thought of him as an ass was when him and cutler got into it at the end of a game in like 07. i didn&acute;t see no point in philip yelling at him from the bench, was sort of like taunting in a way. i&acute;ll go with brett favre, especially with what&acute;s transpired recently. man did i lose a lot of respect for the guy.",3,,,
"i don&acute;t know maybe its just because i&acute;m too spoilt by all the fps of this gen, but when i hit someone with the posion crossbow they run off, call for back up blow my cover and then die. and when i use thetaser to stun them, then when there stunned hit them with my police baton they just run off. i&acute;m just not sure if i&acute;m doing something wrong because sleath just doesn&acute;t work for me :(.",3,,,
"&acute;&acute; the demo just shows the basics of the combat the full game is 100x better...the story is very solid and well told thanks to the book as you can replay scenes...the characters are great and likeable you wont want any of them to die in combat...the art style and presentation is top-notch and the combat is fun and strategic plus some replay value . i highly recommend the game at least rent it.5 years, 1 month ago",1,,,
"&acute;&acute; ... i don&acute;t think your avatar is permitted, your signature is hot as hell though. thanks. but i made sure it was ok. i double checked it...it&acute;s only shading. and i asked a mod... if you prnt srn at the right moment you can see a nipple. i&acute;ve gotten a lot of that....i&acute;ll just go change it and make it more obvious. hey, i really don&acute;t give a crap, but some or other mod or christian might.",2,,,
"http://www.youtube.com/watch?v=l1_uiahpx14 first of all if you can watch this without loosing 1/2 of your iq... you are god :|, what the hell is wrong with people nowadays i listened to this a month ago or so... this is reggaeton the worst music ever made, combine that with a baby and bam you got: this video, dumbest thing ever... oh god :lol: this is.... :|....:lol:!!!! btw if you really want to lose your braincells watch this other one: http://www.youtube.com/watch?v=pnoaj8b2bgm",3,,,
"x-men first class i can already tell it&acute;s going to be overrated to hell and back, but it was entertaining. kind of jammed everything in at the end, which was disappointing, but michael fassbender was awesome. most of the kids seemed stupid and/or pointless. basically, too many folks working on it without collaborating; the typical problem of comic book movies. had the most epic cameo ever, though note to kevin bacon: george lopez wants his 90s haircut back",3,,,
&acute;&acute; :o i eat cheese by itself. almost everyday. bleh! i once canceled a date simply because i saw him eating a sandwich that had a lot of cheese and couldn&acute;t bear the thought of kissing him. that&acute;s how much i hate cheese :lol: hahaha that&acute;s funny. cheese is one of my favorite things to eat... and bread as well :lol: i&acute;m pretty confident i could live just on those two things... provided i don&acute;t die from malnutrition.,2,,,
"&acute;&acute; good :| let them get pissed. casey shouldn&acute;t be enforcing something like that when all it is doing, to my amazement, is making sw worse and creating nothing but spam and making arguments that much mindless where no one even puts up an argument against sony fans anymore except &acute;tchbo!!! hit their weak spot for massive damage!!!&acute; better yet, i&acute;m gonna go make a raid on the &acute;ask the mods&acute; board. .... .... i&acute;m that damn bold.",3,,,
"&acute;&acute; :lol: you, sir, are awsome. but contrary to your opinion, i suggest you go to the ds review section of gamespot and check all the great ds games, imports included. im sure you not trying to tell me that fire emblem ds is not the greatest thing since sliced bread? :lol: no, definately not,i think fire emblem is awesome i played it once on gba, i got the s*** kicked outta me but i had fun lol.",1,,,
"&acute;&acute; i think it might have. i&acute;m tempted to buy a huge socketed axe with some damage bonuses, put in some gems, and use bash which will do a lot of damage, and concentrate which will increase my defense by 100% when i hit him (which will help due to his amazing melee attacks) and the concentrate never misses which will also help. hmm yes get that axe...conc is the most effective vs bosses when playing barb.",1,,,
&acute;&acute; yeah it has been an interesting turn of events. barry o continues to &acute;evolve&acute; as the political landscape becomes more welcoming to the gays has gay marriage ever been dealt with by the scotus in such a &acute;roe v wade&acute; equivalent? not specifically to gay marriage. they&acute;ve been noticeably silent on that issue. however they did rule in 1986 that laws that prohibited sodomy were constitutional...only took them 17 years for them to correct that one.,3,,,
"&acute;&acute; hehe.. i&acute;ll need to replay it sometime. all i remember is getting my ass handed to me by rhoemer himself. he had an m79 grenade launcher if i recall correctly... :? i personally love the whole desert section from sf2. the parachute drop, then the train chase (which is probably the best train level ever along with geow), then the bridge... it was all perfectly paced. in fact, i&acute;m going to go play it now! :p",1,,,
"i don&acute;t care for achievements at all, i believe their a waste of time that developers add in to make you more addicted and turn their games into grinding and making you want to spend hours and hours trying to complete each task.....instead of making a great game that doesnt ask you to replay the game because it adds a little number to your achievements, but makes you want to replay the game because you want to.",3,,,
"to me, most of, if not all of todays new &acute;hip-hop&acute; music sucks and is the genre i hate the most today out of all the genres i listen too.for the most part,everyone flows about the same subject and gets tiring and lame to see people with lots of gold and rides and women. what the hell ever happened to telling stories that mean something, where you can imagine the lyrics with great details and actually relate?",3,,,
"hey, i want to start playing the dawn of war series of games and i was just wondering since i&acute;m just buying one expantion with it, which one should it be, i&acute;m thinking soulstorm because then i&acute;ll be able to play as all 9 races. but reviews of gs say that it&acute;s a waste of money and that dc is better. i&acute;m going to be playing both the campain and multiplayer. so which expantion should i buy?",2,,,
"&acute;&acute; they don&acute;t enjoy it. you&acute;ll find most strippers and prostitutes are cornered into that situation with little or no way out who is exactly is holding a gun to their head? they are most likely doing it to support their drug use. whoa, that&acute;s pretty shallow to assume all strippers are addicted to drugs. i knew a stripper once who was in law school and stripped on the side to help her through school. stereotypes ftl",3,,,
"&acute;&acute; yep, noticed it while watching the psn version. did anybody notice how the masked person on meryl&acute;s team wasn&acute;t affected like everyone else? i wonder who the hell that is. olga&acute;s child??? edit/maybe not olga&acute;s child though. how many years after shadow moses did the big shell incident take place? in this newest trailer naomi says to snake &acute;9 years ago at shadow moses, i injected you with foxdie&acute; was olga&acute;s childs age revealed during mgs2?",2,,,
"while i&acute;m not a huge fan of the witcher games (i do like them but i don&acute;t think they&acute;re great) i will happily continue to buy and support cdp and their games. unlike 98% of the developers out there today, cdp seems to actually have a clue. drm doesn&acute;t work, it&acute;s a waste of time and resources, and it has the potential to alienate a large portion of your customer base. good for them! (and us, too)",3,,,
"&acute;&acute; of course the issue is human life and that should be addressed, but how can&acute;t it be gun control? this was a violence with a gun. this was a mentally ill person who&acute;s weapon of choice was a gun. this is a mental illness issue. there are mentally ill people throughout the developed world, yet the us is the only one of these countries that has to deal with these shootings at such an alarming rate.",3,,,
"&acute;&acute; you&acute;re asking for cat health help on gamespot ot. what the hell do you expect? and yes, people here, including myself, do have nothing better to do, so we try to liven things up a bit. go to a cat forum or something if you truly are worried. im asking here because maybe somebody here has had a similar situation with their own cat so maybe they know what to do or say what they did.",3,,,
"u see? how did i know that? cause i used to be catholic man. as i said earlier i believe in heaven and god and love, if there is a hell it&acute;s here on earth, no such thing as hell after death. you see why im against religion now, because they teach u to be scared and have a fear of consequences and tell you that if u sin, then you will suffer an eternity for it.",2,,,
[quote=&acute;fueled-system&acute;]honestly.... i know i already posted here but threads like these are why i truly think religion should be a banned subject here... look at all these anti christian bashing comments its quite disturbing and it happens constantly and original poster why have you not responded back to this thread? is it because you were intentionally trying to start something it&acute;s ok. we&acute;ll all be burning in hell eventually so you guys win in the long run.,3,,,
"&acute;&acute; then: - what made you realize it wasn&acute;t what you wanted? - why didn&acute;t you want it? &acute;&acute; and you did not experience any withdrawal or urge to smoke of any kind the moment you stopped? the fact that my father died let me to realise that i am, in fact, on my own. and i didn&acute;t want it because believing in a lie is foolish. no, i didn&acute;t have any urge or withdrawl any longer..",2,,,
"&acute;&acute; :| that proves absolutely nothing. you silly man it proves that cats are the superior breed. they can scare off gators, what do think a scavenger like the raccoon is gonna do? get it&acute;s ass kicked that&acute;s what. the gator wasn&acute;t scared. he probably realized that there was no point in trying to attack it, seeing as it&acute;s more agile/faster than him. and i&acute;ve never known a raccoon to back down from a fight when provoked.",3,,,
"&acute;&acute; i never said that they were. but you can&acute;t become &acute;unblack&acute;, or &acute;unjew&acute;, or &acute;unwhite&acute;, or &acute;unjapanese&acute;. it&acute;s about your origins. michael jeckson is still a black man, even though he looks like a white woman:p. and gay people will always be gay that&acute;s the point i was getting at, these reprogramming schemes are offensive and dangerous. well in today&acute;s world they are. and it depends on the individual if they reprogramming can actually take effect.",2,,,
"&acute;&acute; i&acute;m heading out there soon as well and having trouble deciding. i already have mario galaxy, zack and wiki, and umbrella chronicles. i&acute;m debating about the following: battalion wars ii rayman raving rabbids 2 medal of honor heroes 2 fire emblem: radiant dawn wii play (sell the disc on ebay for $20 and finally get a 4th remote) my word coach i&acute;m also thinking about waiting for trauma center 2 to come out later this week.",2,,,
"no others dont like them either, be it they find them no fun, they give them headaches/motionsickness, or just never was able to get good at them, tones of people fall into those groups i used to hate them aswell untill i started playin timesplitters 2 and got better at the genre in general, i still suck most of the time but i have fun with it atleast and as a gamer thats what i want most",1,,,
"&acute;&acute; perhaps it&acute;s to avoid direct flaming; &acute;mr. example is gay!!!11&acute; what? honestly what do you mean? :| if they allowed &acute; gay &acute; in topic titles, some users might abuse it so that they would flame other users. say, some guys get into a quarrel and the otherone makes a topic which&acute;s title would be &acute;the other guy l&acute;m having a quarrel with is gay ! &acute; . it would be public flaming. catch my drift?",3,,,
"the eagles are scared to make moves to aquire players, and that pisses me the hell off. they made no attempt to get roy williams this year and i doubt they&acute;ll attempt to get anquan boldin when he inevitably starts his &acute;trade me&acute; talks again. that being said, i&acute;m not at all jealous of jerry jones, really. i just wish the eagles had an owner that wasn&acute;t afraid to go after some impact players once in awhile.",3,,,
"[quote=&acute;dajuicyman&acute;][quote=&acute;no_hablo_ingles&acute;][quote=&acute;chutebox&acute;] oh yeah, it&acute;s a fun little irrelevant fact. honestly, would you claim bell after watching him play? demetress played well in buffalo. yup, just another example of how awfully run the eagles are. andy reid is putting these lineman in a position to fail. the rush wouldn&acute;t be as strong if his fat ass would use mccoy every once in awhile and call 1 or 2 plays that are not shotgun plays every once in awhile.",3,,,
"&acute;&acute; it looks like he is just destorying his defenders. saw that call, kobe shouldve got a charge, its not a block when the offender throws a straight arm into you. all well, the lakers fans got their wish, barely. your opinion doesn&acute;t count, you&acute;re the most biased jazz supporter i&acute;ve ever seen. deron was moving, it&acute;s a block. kobe&acute;s shoulder only hit deron&acute;s face after kobe was tripped up from the block.7 years, 20 days ago",3,,,
"&acute;&acute; if san antonio can make their small market work, and okc can do the same, then no other small market team has any excuse. if you spend the money and draft wisely, any team can win. problem is, teams have to tank in order to do that. otherwise its near impossible to do anything in the lower lottery (nba hell). being in the lower lottery is hell in any sport. the nfl has the same problem.",2,,,
"nr. 1 assasins creed - as said before it starts of great broing crap after an hour or two! nr. 2 ninja gay sigma - i just hate it, the insane difficulty the graphics the ninja with a motorhelmlike thing on i get depressed thinking about this game. nr. 3 batllefield bad company - not fun at all shooting through walls with grenades is only fun for about 2 hours, cant get into the online part either.",3,,,
"this thread&acute;s has gotten pretty long, so i feel like posting before these arguements start becoming intense and godwin&acute;s law further approaches 1. what do i feel will save me from the pit of fire when i die? nothing, because i don&acute;t believe that pit of fire exists, nor do i believe that the christian god exists or heaven exists or that jesus was the son of god. i follow my own beliefs (rather a lack there-of).",2,,,
"&acute;&acute; honestly,as someone who is a mod now,i wish more people would lurk that board. it might cut down on needless moderations that technicaly are violations but at the same time just waste everyones time. like disruptive posting. this conversation has inspired me to go and lurk the ask a mod forum. mostly because it&acute;s pretty slow in ot today... but it could also be like watching the people&acute;s court... entertaining and informative.6 years, 1 month ago",2,,,
&acute;&acute; no i didn&acute;t tamper with my sticker if spider man stick to walls my warannty sticker stick to my ps3 then when i shipped it my stick was on people im mad cause sony tryin to hustle me out of more money hell i only brought a ps3 i don&acute;t get 360 or wii i luv sony but im being hustled out of cash i payed 530 for my 60gb the thing is...spiderman doesnt exsist :(...jk,3,,,
"&acute;&acute; i&acute;m leaning towards the sidewinder x4, the price is good and has what i&acute;m looking for. i love my sidewinder so far. its a good keyboard for the price. the only thing is they keys are really close together takes some getting used too. and as for going back to other keyboards after getting used to the x4 its going to be awhile until you hit the right keys again. just saying....1 year, 11 months ago",2,,,
"woah...wait why do i need to put in my information?? i dont like doing that.....and i checked and the connection isnt even secure, so other sources can see what i put in?? what if i have spyware or something and people get my information... i just did that whole damn thing....so i dont want that to be a waste of time, but i dont want to put in my real information, especially over a non secure connection...",3,,,
"&acute;&acute; &acute;&acute; why?? do you 2 even have an iphone?? have you ever spent more than 5 minutes using it??? or are you just saying that because you have something against iphone with no real reason behind it... iphone is everything it says it is, it works perfectly, and i havnt had a one problem with mine.....why do people hate things that are popular just for the hell of it, do they just want to be different?",3,,,
&acute;&acute; agreed. but didn&acute;t joey have beef with g-unit? yes he did.... beefs suck now....back when we had good beefs people actually died....now its just name calling like a whole bunch of kindergarten kids... sarcasm? some...but beefs still suck....i actaully never thought they were very interesting anyways... but after hearing the insightful lyrics of notorious big in the song runnin...i would never wish death on nobody because contrary to popular belief...there is no coming back from death...,3,,,
"&acute;&acute; he the one you posted a video of? also &acute;do it for franchise&acute; sounds really funny to me in that dramatic movie moment sort of way.. :lol: thats what it was supposed to sound like..... and worstgameever, ill pretty much listen to anything, i dont care what the hell it is.....its just when i realize i that i dont like it i turn it off....so yeah ill listen to your cd.....do you make beats or something????",2,,,
"&acute;&acute; that&acute;s almost false advertisement. [quote=&acute;gaming_samurai&acute;][quote=&acute;marfoo&acute;]66ghz has to be a typo. it would be hell to get voltage to oscillate that fast. taking a guess, perhaps they meant 2.66ghz. in that case, the price was also a typo. i don&acute;t believe a 2.66ghz comp would cost that much... well, maybe because of the ram (i don&acute;t remember the graphics card). maybe it came 1,200$? not really. especially if it came with a monitor or a powerful gpu.",2,,,
"in this game, luck is a funny thing. and to me, it sounds like you ended up in the wrong room (a room with uber-experienced racers) and ran into a string of bad luck. were you in first place when these shells hit you? my advice is to play against people your own skill level, and to not hang around in rooms with those that are better than you. still love this game. 8500 vr rating, too.",1,,,
"the one&acute;s i remember the best are all from a link to the past. i think my favourite would be the third one from the dark world, where the town was in the light world. it had the boss that divided into 3 and had the spinning heads that shot fireballs. really good dungeon, and a somewhat surprising boss appearance. the second to last dungeon in that game with the fire and ice dragons was fantastic, too.",1,,,
"i&acute;m not really an anime watcher unlike some of the &acute;connoisseurs&acute; on this site. but from what i gathered from the very brief promo, it looks like it will capture the spirit of the game well. i love the battle music they used and i think dante sure does look the part in cartoon form. it reminds me of that show about hell (i forget its name, but someone in this union is named after it).",1,,,
"&acute;&acute; regardless of motive bumping the thread up the page and encouraging the poster of the thread isn&acute;t helpful. say a guy was trying to commit suicide. you come across his body, bleeding all over the sidewalk/pavement. you try and help him, unaware that he really wants to die - that&acute;s what this situation reminds me of. you have good intentions but instead get slapped in the face. harsh. but i suppose i can&acute;t change anything.",2,,,
"none. bottled water is perhaps the most expensive item we can waste our money on because water is free, some may say we paying for the process of bottling and purifying this that and the other, but the purifying process is something that really turns me off from bottled water. especially now that some brands of bottled water are practicing flouridating the liquid, which is very dangerous imo, have i pulled back from that liquid refreshment.",3,,,
"here&acute;s why i think demon&acute;s souls is a deeply flawed game, and why i probably won&acute;t be getting dark souls any time soon. today i played for about 3 hours. i rarely get 3 hours to play a video game in a day. i made absolutely no progress in those 3 hours, save for a few herbs i picked up. saw the same couple of levels a few times over without getting anywhere. waste of time.",3,,,
"and you all wonder why things are in the state they are. i mean, i don&acute;t really care one way or another, i&acute;m pretty content with nintendo and such. but here&acute;s a quality game, specifically designed for core gamers, and people are dismissing it just by looking at the box art. hell i even put in some quotes if you&acute;re too lazy to look at the reviews. but it&acute;s okay, all the more chocobo for me!",2,,,
"so yeah... itunes is getting really up my ass with this problem... and i wanna know what the hell is wrong. i have an album on it, okay? and i put the last track in it, but for some reason, it goes into a seperate album despite the fact i have it under the exact same album name as the other tracks.this really pisses me off so i&acute;d love it if i could get a solution.",3,,,
"&acute;&acute; some might call it morbid thinking, but you could die tomorrow.the relationship could decline and one of us could say we couldn&acute;t take anymore... i just call it realistic thinking.again, its not that i don&acute;t trust.its also not about being a &acute;man&acute;... i don&acute;t believe in that bull crap that so called &acute;alpha males&acute; produce.a real man knows that theres more to being a man than shooting venom from his snake...6 years, 1 month ago",3,,,
"&acute;&acute; :| if biggie died the way big l did, he&acute;d have even more dick riders (assuming the same amount of publicity). stfu. and how are you even comparing big l&acute;s death to biggie&acute;s if you know he put out one album and wasn&acute;t nearly as famous? none of y&acute;all &acute;biggie is overrated/i&acute;m cool because i listen to rappers i think are better than biggie&acute; dumb asses don&acute;t use any logic/common sense when creating these threads.",3,,,
"&acute;&acute; sony aren&acute;t the ones who hyped the hell out of this...the fanboys did.it&acute;s their own fault if they&acute;re feeling let down about not getting it. i&acute;m sure we&acute;ll get in-game xmb eventually. is that hard to be patient for something like this? i mean, it&acute;s not necessary, and it&acute;s not all that exciting either. imyself would like to have it, but i can wait. it&acute;s not important enough to get all worked up about it.",2,,,
"&acute;&acute; its a clerks quote.if anyone reports that, they can go die in a fire. it&acute;s more than just a quote from clerks 2... think of what happened in the movie to give you an idea of how offensive it is to some... its not a racial term thats used outside clerks 2 though.the scene was supposed to be humorous anyway. edit: now that i think about it... i will change it.6 years, 28 days ago",3,,,
&acute;&acute; &acute;marriage is one of the basic civil rights of man&acute; - loving v. virginia and guess what? in 1967 they weren&acute;t talking about gay marriage. if a state defines marriage a certain way you can&acute;t discriminate based on race. that violated the 14th amendment of the constitution. no one said that loving v. virginia was about gay marriage. but the logic behind loving v. virginia can easily be applied to the constitutionality of gay marriage.,2,,,
"i&acute;ve also been a die hard pc gamer. with the death of my gfx card, i decided to go back to console gaming for a bit and bought a 360. i can officially say that i&acute;ve converted to console gaming. i ended up getting ob for 360 and love it. also, i like playing games on 360 vs pc b/c of uniformity, whereas in pc you might have to face off against people with $5,000 systems.",1,,,
"some people are just fairly susceptible to motion sickness. my wife for instance can&acute;t watch me play any fps. they make her extremely nauseous. imax movies do the same thing and, even worse, when we saw the blair witch project at the theater i thought she was going to die (not literally of course). i&acute;ve heard but can&acute;t confirm that playing in a well-lit room helps ease some of these symptoms. then again, there&acute;s always dramamine.",2,,,
&acute;&acute; i have to agree with you. i hope that in the next installment of the game there is a lot more blood. i want to knife someone hand have them bleedout in real time. just an idea. and no i&acute;m not demented. i just finished watching &acute;kingdom of heaven&acute; on blu-ray and when salihadin (bad spelling sorry) cuts the throat of that tyrant with the orange beard it was just freakin&acute; awesome and very realistic.,1,,,
